class,trial,target,detect_ms,recover_ms,path
kill9,93,plant,1.337,213.498,DETECT_SIGCHLD
kill9,94,controller,1.344,217.267,DETECT_SIGCHLD
kill9,95,logger,1.352,219.369,DETECT_SIGCHLD
kill9,96,plant,1.413,211.966,DETECT_SIGCHLD
kill9,97,controller,1.329,213.672,DETECT_SIGCHLD
kill9,98,logger,1.370,216.600,DETECT_SIGCHLD
kill9,99,plant,1.321,219.470,DETECT_SIGCHLD
kill9,100,controller,1.407,212.003,DETECT_SIGCHLD
stop,1,controller,98.512,308.507,DETECT_DEADLINE
stop,2,logger,44.632,254.636,DETECT_DEADLINE
stop,3,plant,50.600,260.604,DETECT_DEADLINE
stop,4,controller,64.909,284.900,DETECT_DEADLINE
stop,5,logger,40.428,250.436,DETECT_DEADLINE
stop,6,plant,44.044,254.035,DETECT_DEADLINE
stop,7,controller,68.553,288.564,DETECT_DEADLINE
stop,8,logger,49.834,269.907,DETECT_DEADLINE
stop,9,plant,54.514,264.537,DETECT_DEADLINE
stop,10,controller,87.789,297.856,DETECT_DEADLINE
stop,11,logger,52.410,262.425,DETECT_DEADLINE
stop,12,plant,46.631,256.630,DETECT_DEADLINE
stop,13,controller,80.598,290.602,DETECT_DEADLINE
stop,14,logger,45.093,255.104,DETECT_DEADLINE
stop,15,plant,6.697,226.679,DETECT_DEADLINE
stop,16,controller,69.801,279.819,DETECT_DEADLINE
stop,17,logger,33.720,253.755,DETECT_DEADLINE
stop,18,plant,33.977,244.038,DETECT_DEADLINE
stop,19,controller,57.779,277.843,DETECT_DEADLINE
stop,20,logger,31.151,241.232,DETECT_DEADLINE
stop,21,plant,54.037,264.148,DETECT_DEADLINE
stop,22,controller,33.806,243.864,DETECT_DEADLINE
stop,23,logger,26.532,236.562,DETECT_DEADLINE
stop,24,plant,49.718,269.782,DETECT_DEADLINE
stop,25,controller,82.855,292.880,DETECT_DEADLINE
stop,26,logger,46.412,256.422,DETECT_DEADLINE
stop,27,plant,49.860,269.910,DETECT_DEADLINE
stop,28,controller,73.625,293.658,DETECT_DEADLINE
stop,29,logger,65.073,285.075,DETECT_DEADLINE
stop,30,plant,47.712,267.707,DETECT_DEADLINE
stop,31,controller,71.590,291.561,DETECT_DEADLINE
stop,32,logger,36.642,256.609,DETECT_DEADLINE
stop,33,plant,51.302,261.302,DETECT_DEADLINE
stop,34,controller,75.991,286.000,DETECT_DEADLINE
stop,35,logger,40.825,260.833,DETECT_DEADLINE
stop,36,plant,85.582,305.639,DETECT_DEADLINE
stop,37,controller,50.695,270.759,DETECT_DEADLINE
stop,38,logger,52.840,262.865,DETECT_DEADLINE
stop,39,plant,57.572,277.609,DETECT_DEADLINE
stop,40,controller,52.107,262.128,DETECT_DEADLINE
stop,41,logger,46.531,256.508,DETECT_DEADLINE
stop,42,plant,61.061,271.194,DETECT_DEADLINE
stop,43,controller,16.983,226.976,DETECT_DEADLINE
stop,44,logger,40.537,250.524,DETECT_DEADLINE
stop,45,plant,54.416,264.444,DETECT_DEADLINE
stop,46,controller,69.226,279.217,DETECT_DEADLINE
stop,47,logger,33.124,253.161,DETECT_DEADLINE
stop,48,plant,47.713,257.713,DETECT_DEADLINE
stop,49,controller,62.469,272.529,DETECT_DEADLINE
stop,50,logger,74.664,284.649,DETECT_DEADLINE
stop,51,plant,50.150,260.155,DETECT_DEADLINE
stop,52,controller,64.607,284.616,DETECT_DEADLINE
stop,53,logger,40.009,250.022,DETECT_DEADLINE
stop,54,plant,43.528,263.492,DETECT_DEADLINE
stop,55,controller,68.156,288.100,DETECT_DEADLINE
stop,56,logger,33.337,243.418,DETECT_DEADLINE
stop,57,plant,83.841,293.867,DETECT_DEADLINE
stop,58,controller,79.376,299.429,DETECT_DEADLINE
stop,59,logger,33.807,253.834,DETECT_DEADLINE
stop,60,plant,48.168,258.151,DETECT_DEADLINE
stop,61,controller,82.273,292.289,DETECT_DEADLINE
stop,62,logger,36.015,256.016,DETECT_DEADLINE
stop,63,plant,41.298,251.292,DETECT_DEADLINE
stop,64,controller,13.822,233.789,DETECT_DEADLINE
stop,65,logger,36.638,256.598,DETECT_DEADLINE
stop,66,plant,31.621,251.670,DETECT_DEADLINE
stop,67,controller,76.178,286.170,DETECT_DEADLINE
stop,68,logger,41.396,251.397,DETECT_DEADLINE
stop,69,plant,35.088,245.145,DETECT_DEADLINE
stop,70,controller,68.288,288.307,DETECT_DEADLINE
stop,71,logger,44.901,254.876,DETECT_DEADLINE
stop,72,plant,38.863,258.816,DETECT_DEADLINE
stop,73,controller,83.261,293.289,DETECT_DEADLINE
stop,74,logger,37.123,257.071,DETECT_DEADLINE
stop,75,plant,41.585,251.590,DETECT_DEADLINE
stop,76,controller,75.096,285.082,DETECT_DEADLINE
stop,77,logger,38.588,258.620,DETECT_DEADLINE
